Date,Title,Kicker,Image,Link,Word_Count_Title,Word_Count_Kicker,Character_Count_Title,Character_Count_Kicker,Capital_Words_Kicker,Sentiment_Title,Sentiment_Kicker,Keyword_Frequency_Title,Keyword_Frequency_Kicker,Readability_Score_Title,Readability_Score_Kicker,Title_Complexity
2025-03-07,GOLDSTEIN TO BECOME SENIOR ADVISER,"Las Vegas Sands CEO Robert Goldstein to step down in 2026, Patrick Dumont to succeed",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/07/73261/1741359172-goldstein-ceo-las-vegas-sands-2025.jpg,https://www.yogonet.com/international/news/2025/03/07/97394-las-vegas-sands-ceo-robert-goldstein-to-step-down-in-2026-patrick-dumont-to-succeed,5,15,34,84,"['Las', 'Vegas', 'Sands', 'Robert', 'Goldstein', 'Patrick', 'Dumont']",0.0,-0.15555555555555559,"{'to': 1, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 2, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,6.0
2025-03-07,HAS OVER 250 ROOMS,Michigan’s Gun Lake Casino opens new 16-story hotel in $300M expansion,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/07/73257/1741355133-gun-lake-casino-resort-michigan-hotel-expansion-01.jpg,https://www.yogonet.com/international/news/2025/03/07/97385-michigans-gun-lake-casino-opens-new-16story-hotel-in-300m-expansion,4,11,18,70,"['Gun', 'Lake', 'Casino', '$300M']",0.0,0.13636363636363635,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 1}",0.0,0.0,3.75
2025-03-07,"TO DRIVE GROWTH, ENHANCE GUEST EXPERIENCE",Virgin Las Vegas appoints former Venetian executive John Fechik as Senior Vice President of Marketing,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/06/73234/1741282709-john-fechik-senior-vp-marketing-virgin-las-vegas.jpg,https://www.yogonet.com/international/news/2025/03/07/97309-virgin-las-vegas-appoints-former-venetian-executive-john-fechik-as-senior-vice-president-of-marketing,6,15,41,101,"['Virgin', 'Las', 'Vegas', 'Venetian', 'John', 'Fechik', 'Senior', 'Vice', 'President', 'Marketing']",0.0,0.0,"{'to': 1, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 1, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,6.0
2025-03-07,EBITDA DROPS SHARPLY TO $1 MILLION,"Resorts World Las Vegas reports weak Q4 2024 earnings, falling 21.2% to $190 million",https://imagenesyogonet.b-cdn.net/data/imagenes/2021/11/26/40969/1637935552-resorts-world-las-vegas-07.jpg,https://www.yogonet.com/international/news/2025/03/07/97308-resorts-world-las-vegas-reports-weak-q4-2024-earnings-falling-212-to-190-million,6,14,34,84,"['Resorts', 'World', 'Las', 'Vegas', 'Q4']",-0.125,-0.375,"{'to': 1, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 1, 'gambling': 0, 'march': 0}","{'to': 1, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,95.93928571428573,4.833333333333333
2025-03-06,EXCEEDS GOVERNMENT PROJECTIONS BY 5.4%,Macau’s gaming tax revenue up 35% to $11 billion in 2024,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/05/06/25227/1625326564-vista-macao-casinos-02.jpg,https://www.yogonet.com/international/news/2025/03/06/97299-macaus-gaming-tax-revenue-up-35-to-11-billion-in-2024,5,11,38,56,[],0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 1, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 1, 'new': 0}",49.48000000000002,0.0,6.8
2025-03-06,"GAMBLING WORKFORCE ROSE TO 52,971","Macao casino employment rises, wages up 6.3% in 2024",https://imagenesyogonet.b-cdn.net/data/imagenes/2023/07/20/56333/1689867066-macau-generica-julio-2023.jpg,https://www.yogonet.com/international/news/2025/03/06/97195-macao-casino-employment-rises-wages-up-63-in-2024,5,9,33,52,['Macao'],0.6,0.0,"{'to': 1, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 1, 'march': 0}","{'to': 0, 'in': 1, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,66.10000000000002,5.8
2025-03-05,FOR UP TO THREE YEARS,Clark County approves extended closure for Whiskey Pete’s Casino in Primm,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/03/71185/1735914485-whiskey-pete-hotel-casino-primm-nevada.jpg,https://www.yogonet.com/international/news/2025/03/05/97178-clark-county-approves-extended-closure-for-whiskey-petes-casino-in-primm,5,11,21,73,"['Clark', 'County', 'Whiskey', 'Casino', 'Primm']",0.0,0.0,"{'to': 1, 'in': 0, 'of': 0, 'on': 0, 'for': 1, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 1, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,0.0,3.4
2025-03-06,A LAS VEGAS INC 40 UNDER 40 HONOREE,"Pennsylvania: Boyd appoints Martha Morales as new VP, GM at Valley Forge Casino",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/06/73194/1741220664-martha-morales-vp-gm-valley-forge-casino-resort.jpg,https://www.yogonet.com/international/news/2025/03/06/97076-pennsylvania-boyd-appoints-martha-morales-as-new-vp-gm-at-valley-forge-casino,8,13,35,79,"['Pennsylvania:', 'Boyd', 'Martha', 'Morales', 'Valley', 'Forge', 'Casino']",0.0,0.13636363636363635,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 1, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 1}",0.0,0.0,3.5
2025-03-04,THAIS WITH THREE-YEAR TAX HISTORY ALLOWED,Thailand drops $1.5 million asset rule for casino entry in revised gambling law,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/06/02/54988/1685713736-thailand-city-view.jpg,https://www.yogonet.com/international/news/2025/03/04/96964-thailand-drops-15-million-asset-rule-for-casino-entry-in-revised-gambling-law,6,13,41,79,['Thailand'],0.0,0.0,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 0, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 1, 'for': 1, 'gambling': 1, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 0}",0.0,50.470769230769264,6.0
2025-03-04,'UPGRADED EXPERIENCE FOR PLAYERS',Virginia: Hard Rock Hotel & Casino Bristol's new poker room sees major success,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/15/70054/1731684293-hard-rock-hotel-casino-bristol-02.jpg,https://www.yogonet.com/international/news/2025/03/04/96963-virginia-hard-rock-hotel-casino-bristol-39s-new-poker-room-sees-major-success,4,13,33,78,"['Virginia:', 'Hard', 'Rock', 'Hotel', 'Casino']",0.0,0.051799242424242414,"{'to': 0, 'in': 0, 'of': 0, 'on': 0, 'for': 1, 'a': 0, 'and': 0, 'million': 0, 'gambling': 0, 'march': 0}","{'to': 0, 'in': 0, 'for': 0, 'gambling': 0, 'the': 0, 'of': 0, 'betting': 0, 'and': 0, 'gaming': 0, 'new': 1}",0.0,0.0,7.5
